City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,witnica,52.6732,14.8977,7.15,68,87,2.71,PL,1727656315
329,montevideo,-34.8335,-56.1674,19.84,83,0,2.57,UY,1727656317
330,najran,17.4924,44.1277,21.19,20,84,0.6,SA,1727656318
331,amnat charoen,15.9167,104.75,27.15,82,42,3.83,TH,1727656320
332,kavieng,-2.5744,150.7967,28.14,77,100,5.62,PG,1727656321
333,mogadishu,2.0371,45.3438,25.92,82,20,3.91,SO,1727656323
334,nova vicosa,-17.8919,-39.3719,23.29,77,61,3.14,BR,1727656324
335,kuala belait,4.5833,114.1833,27.08,84,100,2.54,BN,1727656326
336,ovruch,51.3246,28.8035,9.57,70,100,7.2,UA,1727656328
337,anloga,5.7947,0.8973,25.29,82,17,5.59,GH,1727656329
338,zhangjiajie,29.1294,110.4783,24.8,91,100,2.63,CN,1727656331
339,san fernando,15.0286,120.6898,26.85,75,100,5.62,PH,1727656333
340,nar'yan-mar,67.6713,53.087,3.92,92,99,7.72,RU,1727656334
341,bryne,58.7354,5.6477,8.81,88,20,4.12,NO,1727656336
342,constantia,44.1833,28.65,11.5,89,100,10.32,RO,1727656338
343,la mira,18.035,-102.3266,25.19,89,98,1.1,MX,1727656339
344,albertina,-22.2008,-46.6158,21.81,52,53,4.14,BR,1727656341
345,tofol,5.3248,163.0078,29.88,79,75,1.03,FM,1727656342
346,mweka,-4.85,21.5667,19.89,99,86,1.1,CD,1727656344
347,quthing,-30.4,27.7003,5.46,55,0,1.77,LS,1727656346
348,sao pedro do sul,-29.6206,-54.1789,19.65,78,6,2.25,BR,1727656347
349,kwang binh,17.4833,106.6,29.38,74,99,2.37,VN,1727656349
350,tanout,14.9709,8.8879,31.98,22,78,4.26,NE,1727656351
351,wabag,-5.4781,143.7021,20.47,69,100,1.93,PG,1727656352
352,livingston,55.9029,-3.5226,8.53,89,0,4.12,GB,1727656354
353,tangalle,6.024,80.7911,25.75,86,100,0.62,LK,1727656355
354,talakan,50.3167,130.3667,4.74,93,100,5.14,RU,1727656357
355,mopti,14.6667,-4.0,31.28,48,1,2.75,ML,1727656359
356,inonu,37.3167,33.7667,18.59,46,0,4.16,TR,1727656360
357,beloyarskiy,63.7119,66.6722,9.21,96,100,2.81,RU,1727656362
